Region Zip Code,Longitude,Latitude,Small Facility,Medium Facility,Large Facility
10001,-74.00499378153764,40.74001064006944,0,0,1
10001,-73.99570998854409,40.744408073663166,0,0,1
10002,-73.99345131277413,40.707448546344246,0,0,1
10002,-73.98716185101895,40.72010465920064,0,0,1
10002,-73.98349088480991,40.72359014813812,0,0,1
10002,-73.99055306240645,40.71386154898203,0,0,1
10003,-73.98160957033953,40.72217950864048,0,0,1
10003,-73.99892982586746,40.72661265095083,0,0,1
10003,-73.98402030890495,40.72330503488151,0,0,1
10003,-73.98815121882016,40.7336011604127,0,0,1
10004,-73.99715630561964,40.71047055919109,0,0,1
10004,-74.00915792249593,40.70458503030301,1,0,0
10005,-74.01098921943765,40.70187181223485,0,0,1
10005,-74.01622023844914,40.70129771041107,0,0,1
10006,-74.01793899523396,40.71523094361238,1,0,0
10007,-74.01112766360394,40.714839001236896,0,0,1
10007,-74.00583179946909,40.70615503019808,0,0,1
10009,-73.98859417873706,40.7322254683972,0,0,1
10009,-73.98446049081696,40.72461820271474,0,0,1
10009,-73.97952944360436,40.73441450469686,0,0,1
10009,-73.97949773122765,40.730410106572606,0,0,1
10009,-73.97956817058119,40.72192929264919,0,0,1
10010,-73.97621819267503,40.73049882779243,0,0,1
10010,-73.98010858931761,40.7418815404711,0,0,1
10010,-73.99043458647117,40.74139221806833,0,0,1
10010,-73.9837513962957,40.74351521016972,0,0,1
10010,-73.9818667186759,40.74090477882887,0,0,1
10011,-73.99413335559261,40.74605110334661,0,0,1
10011,-74.00358546188431,40.7410209119911,0,0,1
10011,-74.00090734951218,40.73031877507366,0,0,1
10012,-74.00273062075861,40.72418659806853,0,0,1
10012,-73.99835273766213,40.73186545549579,0,0,1
10013,-73.99254284033952,40.71346970576272,0,0,1
10013,-74.00295555038565,40.72237976279977,0,0,1
10013,-74.00039219038996,40.72567713819127,0,0,1
10013,-74.00098323181508,40.71982176896126,0,0,1
10014,-74.00763801929585,40.74121610513135,0,0,1
10014,-74.00235486130045,40.73980672450776,0,0,1
10016,-73.96858307173369,40.74421950054159,0,0,1
10016,-73.98252417166617,40.74425266314182,0,0,1
10016,-73.98717547199058,40.75372785643471,0,0,1
10016,-73.96990884196424,40.74746415826054,0,0,1
10016,-73.98071553344232,40.75020070088607,0,0,1
10016,-73.98252655897379,40.74055234231847,0,0,1
10017,-73.96937614036783,40.75491164277641,0,0,1
10019,-73.98446963451457,40.7609528409948,0,0,1
10019,-73.99551775612439,40.76043287238779,1,0,0
10019,-73.9907347708268,40.758386936768,0,0,1
10019,-73.99560513469524,40.77088368454141,0,0,1
10021,-73.9679068235128,40.76364785550662,0,0,1
10021,-73.95038905234678,40.76856937218759,0,0,1
10021,-73.95371919121166,40.76651879930226,0,0,1
10021,-73.96108760276779,40.77430158856478,0,0,1
10021,-73.96187855851339,40.76660670963265,0,0,1
10021,-73.95977103301445,40.77526411139082,0,0,1
10022,-73.96394367171766,40.75406772770688,0,0,1
10022,-73.96910992767907,40.75519351633996,0,0,1
10022,-73.9717670635095,40.749870286181135,0,0,1
10022,-73.95824894819656,40.76541793809451,0,0,1
10022,-73.97292582983786,40.76053746342642,1,0,0
10023,-73.99086772298362,40.78541197706469,0,0,1
10023,-73.98577211128634,40.77183563982967,0,0,1
10023,-73.97737176032084,40.78347005235737,0,0,1
10023,-73.97524873284941,40.772494283496414,0,0,1
10023,-73.98283066119815,40.76765113330259,0,0,1
10023,-73.9796586299646,40.77282525473365,0,0,1
10023,-73.99167973933855,40.77584262586475,0,0,1
10023,-73.99210303895069,40.77456726006324,0,0,1
10023,-73.98202637847002,40.76953626041786,0,0,1
10023,-73.97644495154385,40.77627600950071,0,0,1
10023,-73.98833688503464,40.780258351047,0,0,1
10024,-73.97057432687099,40.79332609873392,0,0,1
10024,-73.97455563450035,40.78277756706422,0,0,1
10024,-73.97871803889782,40.7911973311753,0,0,1
10024,-73.96863933726934,40.78659124057289,0,0,1
10024,-73.96747678272929,40.78773651284981,0,0,1
10024,-73.9732489922817,40.79171770609399,0,0,1
10024,-73.97779945858495,40.77732516955133,0,0,1
10024,-73.97232704783416,40.78091599823781,0,0,1
10024,-73.9821758756041,40.78763500458872,0,0,1
10024,-73.98516045707852,40.78139882830964,0,0,1
10024,-73.97928651537599,40.78239292608435,0,0,1
10024,-73.9843250891407,40.78349065340132,0,0,1
10024,-73.98352056535371,40.796043932921805,0,0,1
10024,-73.97679913134792,40.785980698896175,0,0,1
10025,-73.96757146887798,40.80387732135026,0,0,1
10025,-73.97579191972403,40.79621264259381,0,0,1
10025,-73.96059328896219,40.79815388306795,0,0,1
10025,-73.96335298193974,40.799700021723375,0,0,1
10025,-73.96840369731817,40.787726645246174,0,0,1
10025,-73.95900554347065,40.80359276253591,0,0,1
10025,-73.96448027066695,40.79314159018099,0,0,1
10025,-73.96781947810818,40.8067326595135,0,0,1
10025,-73.95880510789999,40.79079218457793,0,0,1
10025,-73.97574285044423,40.80661364777389,0,0,1
10025,-73.97549421404199,40.80563172635437,0,0,1
10025,-73.96649665639367,40.80493579170229,0,0,1
10025,-73.96140449841194,40.8033922343653,0,0,1
10026,-73.96284197420495,40.799460461438045,0,0,1
10026,-73.95974468838372,40.810715928021104,0,0,1
10026,-73.95711286393308,40.793767728763264,0,0,1
10026,-73.95304524166399,40.79190981927601,0,0,1
10026,-73.96153865055001,40.79716871910394,0,0,1
10026,-73.94763966625979,40.80124223420759,0,0,1
10027,-73.96098243896108,40.81728575743725,0,0,1
10027,-73.9639893421862,40.81499746810381,0,0,1
